"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2016","Royals","2244","6052","147","675","640","121","6.3 %","20.2 %",".139",".309",".261",".312",".400",".307","89","-4.3","-83.9","-9.8","11.8"
"2011","Rockies","2348","6275","163","735","697","118","8.8 %","19.1 %",".152",".300",".258",".329",".410",".324","88","-1.8","-92.5","12.7","11.7"
"2014","Padres","2362","5905","109","535","500","91","7.9 %","21.9 %",".115",".277",".226",".292",".342",".283","82","-6.2","-128.7","56.9","11.7"
"2011","White Sox","2206","6159","154","654","625","81","7.7 %","16.1 %",".136",".280",".252",".319",".388",".312","90","-9.9","-80.0","-13.9","11.7"
"2014","Rangers","2264","6026","111","637","597","105","6.9 %","19.3 %",".119",".305",".256",".314",".375",".305","90","-1.8","-66.8","-17.0","11.6"
"2014","Phillies","2282","6198","125","619","584","109","7.1 %","21.1 %",".121",".292",".242",".302",".363",".295","86","10.6","-85.5","4.2","11.6"
"2019","Blue Jays","2354","6091","247","726","697","51","8.4 %","24.9 %",".192",".280",".236",".305",".428",".310","92","-7.0","-71.4","-25.7","11.5"
"2018","Rangers","2300","6163","194","737","696","74","9.0 %","24.1 %",".164",".292",".240",".318",".404",".315","89","7.2","-77.4","-15.1","11.4"
"2015","Athletics","2349","6171","146","694","661","78","7.7 %","18.1 %",".144",".288",".251",".312",".395",".308","95","-1.0","-34.1","-60.7","11.3"
"2017","Orioles","2351","6140","232","743","713","32","6.4 %","23.0 %",".175",".306",".260",".312",".435",".318","95","-14.9","-51.3","-44.9","11.3"
"2012","Cubs","2341","5967","137","613","570","94","7.5 %","20.7 %",".138",".286",".240",".302",".378",".297","81","-6.0","-138.9","65.7","11.3"
"2017","Royals","2342","6027","193","702","660","91","6.5 %","19.3 %",".160",".295",".259",".311",".420",".312","91","2.5","-65.6","-28.5","11.1"
"2016","Padres","2355","6000","177","686","654","125","7.5 %","25.0 %",".155",".291",".235",".299",".390",".297","84","24.8","-92.3","14.0","11.1"
"2019","Reds","2462","6100","227","701","679","80","8.1 %","23.5 %",".178",".288",".244",".315",".422",".312","87","-16.7","-117.9","34.4","11.1"
"2019","White Sox","2311","6042","182","708","676","63","6.3 %","25.6 %",".153",".329",".261",".314",".414",".309","93","5.3","-48.0","-52.2","11.0"
"2010","Indians","2255","6165","128","646","601","91","8.8 %","19.2 %",".130",".293",".248",".322",".378",".311","94","1.3","-40.7","-70.3","11.0"
"2019","Pirates","2441","6228","163","758","722","64","6.8 %","19.5 %",".156",".309",".265",".321",".420",".313","92","-4.6","-68.0","-22.1","10.8"
"2013","Twins","2332","6212","151","614","590","52","8.6 %","23.0 %",".138",".298",".242",".312",".380",".307","91","1.2","-66.1","-35.4","10.8"
"2017","Blue Jays","2455","6154","222","693","661","53","8.8 %","21.6 %",".172",".276",".240",".312",".412",".312","93","-15.8","-72.6","-30.2","10.7"
"2012","Marlins","2269","6057","137","609","576","149","8.0 %","20.3 %",".138",".289",".244",".308",".382",".300","87","2.5","-92.9","10.9","10.6"
"2017","Giants","2372","6137","128","639","612","76","7.6 %","19.6 %",".132",".294",".249",".309",".380",".296","83","2.6","-134.1","38.5","10.5"
"2017","Phillies","2308","6133","174","690","654","59","8.1 %","23.1 %",".159",".304",".250",".315",".409",".310","87","-9.5","-109.5","13.1","10.4"
"2012","Rockies","2429","6183","166","758","716","100","7.3 %","19.6 %",".163",".321",".274",".330",".436",".331","90","2.8","-73.8","-14.7","10.3"
"2012","Pirates","2360","6014","170","651","620","73","7.4 %","22.5 %",".152",".291",".243",".304",".395",".304","91","-0.3","-67.8","-17.0","10.2"
"2019","Rockies","2452","6288","224","835","803","71","7.8 %","23.9 %",".190",".321",".265",".326",".456",".328","86","1.6","-116.4","16.8","10.1"
"2017","Rangers","2268","6122","237","799","756","113","8.9 %","24.4 %",".186",".291",".244",".320",".430",".321","90","6.3","-70.2","-37.6","10.1"
"2017","Pirates","2371","6136","151","668","635","67","8.5 %","19.8 %",".142",".286",".244",".318",".386",".304","85","-2.2","-120.0","19.3","10.0"
"2019","Giants","2493","6170","167","678","655","47","7.7 %","23.3 %",".153",".290",".239",".302",".392",".295","83","-3.4","-143.1","46.1","10.0"
"2013","Mariners","2237","6172","188","624","597","49","8.6 %","21.9 %",".152",".279",".237",".306",".390",".307","95","-6.9","-41.1","-66.7","10.0"
"2018","Marlins","2434","6083","128","589","554","45","7.5 %","22.8 %",".119",".293",".237",".303",".357",".289","83","-15.8","-144.4","49.3","9.9"
"2015","Braves","2340","6034","100","573","548","69","7.8 %","18.3 %",".108",".297",".251",".314",".359",".296","84","-2.7","-115.5","22.4","9.9"
"2010","Royals","2190","6209","121","676","640","115","7.6 %","14.6 %",".126",".305",".274",".331",".399",".323","98","-28.4","-42.1","-81.2","9.9"
"2016","Braves","2390","6192","122","649","615","75","8.1 %","20.0 %",".130",".305",".255",".321",".384",".304","86","-6.1","-110.8","13.7","9.8"
"2015","Rockies","2436","6071","186","737","702","97","6.4 %","21.1 %",".167",".313",".265",".315",".432",".321","87","4.7","-91.9","-4.2","9.7"
"2010","Orioles","2240","6109","133","613","577","76","6.9 %","17.3 %",".127",".296",".259",".316",".386",".310","87","-21.0","-111.8","-11.0","9.6"
"2016","Phillies","2348","5992","161","610","575","96","7.1 %","23.0 %",".144",".292",".240",".301",".385",".296","81","0.9","-137.5","43.2","9.4"
"2019","Royals","2269","6080","162","691","655","117","7.5 %","23.1 %",".154",".301",".247",".309",".401",".302","84","-1.7","-124.2","5.4","9.3"
"2011","Indians","2287","6142","154","704","671","89","8.0 %","20.7 %",".146",".297",".250",".317",".396",".314","99","0.4","-8.5","-107.2","9.3"
"2019","Rangers","2273","6204","223","810","765","131","8.6 %","25.4 %",".183",".304",".248",".319",".431",".317","88","12.0","-86.8","-37.5","9.2"
"2012","Mariners","2236","6057","149","619","584","104","7.7 %","20.8 %",".135",".276",".234",".296",".369",".291","87","0.1","-89.6","-30.3","8.9"
"2013","Phillies","2310","6014","140","610","578","73","6.9 %","20.0 %",".135",".293",".248",".306",".384",".303","89","-7.4","-81.9","-15.8","8.9"
"2018","White Sox","2348","6071","182","656","639","98","7.0 %","26.3 %",".160",".304",".241",".302",".401",".304","92","-7.2","-61.9","-52.9","8.8"
"2015","Phillies","2321","6053","130","626","586","88","6.4 %","21.0 %",".133",".299",".249",".303",".382",".298","86","-1.9","-100.3","-3.9","8.8"
"2015","White Sox","2265","6070","136","622","595","68","6.7 %","20.3 %",".130",".296",".250",".306",".380",".300","89","-15.2","-94.3","-21.6","8.8"
"2012","Indians","2339","6195","136","667","635","110","9.0 %","17.5 %",".131",".288",".251",".324",".381",".310","97","-13.6","-37.7","-93.2","8.2"
"2018","Padres","2380","6059","162","617","583","95","7.8 %","25.1 %",".145",".294",".235",".297",".380",".294","84","-5.7","-122.8","10.0","8.0"
"2011","Athletics","2229","6104","114","645","612","117","8.3 %","17.9 %",".125",".283",".244",".311",".369",".301","89","-6.5","-82.2","-49.5","7.5"
"2017","Padres","2342","5954","189","604","576","89","7.7 %","25.2 %",".160",".287",".234",".299",".393",".298","82","6.7","-132.7","7.4","7.0"
"2018","Giants","2412","6113","133","603","573","77","7.3 %","24.0 %",".129",".299",".239",".300",".368",".290","83","-2.9","-132.5","7.9","7.0"
"2018","Tigers","2323","6029","135","630","597","70","7.1 %","22.2 %",".138",".293",".241",".300",".380",".295","83","6.4","-113.4","-20.5","6.7"
"2011","Pirates","2444","6064","107","610","580","108","8.1 %","21.6 %",".123",".301",".244",".309",".368",".299","87","-15.2","-103.1","-17.8","6.7"
"2019","Orioles","2386","6189","213","729","698","84","7.5 %","23.2 %",".168",".293",".246",".310",".415",".308","88","2.0","-89.6","-63.8","6.4"
"2012","Astros","2421","6014","146","583","545","105","7.7 %","22.7 %",".135",".288",".236",".302",".371",".296","82","-16.9","-144.4","17.7","5.8"
"2013","White Sox","2279","6077","148","598","574","105","6.8 %","19.9 %",".129",".291",".249",".302",".378",".299","85","-12.7","-117.5","-29.0","5.5"
"2010","Astros","2358","6005","108","611","577","100","6.9 %","17.1 %",".115",".285",".247",".303",".362",".295","79","-6.4","-156.6","27.6","5.4"
"2011","Twins","2269","6020","103","619","572","92","7.3 %","17.4 %",".113",".288",".247",".306",".360",".296","82","-6.5","-133.4","-25.8","4.3"
"2011","Mariners","2090","5972","109","556","534","125","7.3 %","21.4 %",".115",".283",".233",".292",".348",".283","80","11.9","-124.4","-36.6","3.9"
"2013","Marlins","2244","6021","95","513","485","78","7.2 %","20.5 %",".104",".280",".231",".293",".335",".279","74","-5.2","-178.9","29.5","3.3"
"2016","Athletics","2343","6022","169","653","634","50","7.3 %","19.0 %",".149",".280",".246",".304",".395",".302","89","-22.2","-100.5","-77.5","3.0"
"2019","Marlins","2402","6045","146","615","593","55","6.5 %","24.3 %",".134",".300",".241",".298",".375",".288","79","-23.9","-195.2","26.3","2.6"
"2010","Mariners","2104","5989","101","513","485","142","7.7 %","19.8 %",".104",".282",".236",".298",".339",".285","79","-1.0","-148.8","-40.5","2.2"
"2013","Astros","2266","6020","148","610","566","110","7.1 %","25.5 %",".136",".304",".240",".299",".375",".298","85","-8.9","-112.7","-64.4","1.9"
"2010","Pirates","2327","5974","126","587","570","87","7.8 %","20.2 %",".131",".288",".242",".304",".373",".300","84","-5.8","-119.0","-48.1","1.4"
"2018","Orioles","2313","6034","188","622","593","81","7.0 %","23.4 %",".152",".286",".239",".298",".391",".299","85","-9.6","-116.1","-75.1","0.8"
"2019","Tigers","2316","6039","149","582","556","57","6.5 %","26.4 %",".148",".308",".240",".294",".388",".290","77","-6.8","-186.3","-53.8","-2.6"
